,SampleID,Subtype
TCGA-A7-A0DB-01C-02R-A27D-13,TCGA-A7-A0DB-01C-02R-A27D-13,0
TCGA-A7-A0DC-01B-04R-A22P-13,TCGA-A7-A0DC-01B-04R-A22P-13,1
TCGA-A7-A13D-01B-04R-A27D-13,TCGA-A7-A13D-01B-04R-A27D-13,1
TCGA-A7-A13E-01B-06R-A27D-13,TCGA-A7-A13E-01B-06R-A27D-13,1
TCGA-A7-A13G-01B-04R-A22P-13,TCGA-A7-A13G-01B-04R-A22P-13,2
TCGA-A7-A26E-01B-06R-A27D-13,TCGA-A7-A26E-01B-06R-A27D-13,0
TCGA-A7-A26F-01B-04R-A22P-13,TCGA-A7-A26F-01B-04R-A22P-13,0
TCGA-A7-A26I-01B-06R-A22P-13,TCGA-A7-A26I-01B-06R-A22P-13,1
TCGA-A7-A26J-01B-02R-A27D-13,TCGA-A7-A26J-01B-02R-A27D-13,1
TCGA-AC-A2QH-01B-04R-A22P-13,TCGA-AC-A2QH-01B-04R-A22P-13,1
TCGA-AC-A3OD-01B-06R-A22P-13,TCGA-AC-A3OD-01B-06R-A22P-13,0
TCGA-AC-A3QQ-01B-06R-A22P-13,TCGA-AC-A3QQ-01B-06R-A22P-13,1
